model,cutoff,n,positive_rate,auc,pr_auc,precision,recall,f1,threshold
Logistic_RFM,2011-10-01,2151,0.35239423523942354,0.6659072785715232,0.5720054906806202,0.4547304170905392,0.5897097625329816,0.5134979896611144,0.39499999999999996
Logistic_RFM,2011-11-01,2461,0.4290938642828119,0.6863939663539308,0.6636121503886165,0.5756731662024142,0.5871212121212122,0.5813408345053914,0.39499999999999996
Logistic_All,2011-10-01,2151,0.35239423523942354,0.6769543154900018,0.5832857067903199,0.43870967741935485,0.7176781002638523,0.5445445445445445,0.37499999999999994
Logistic_All,2011-11-01,2461,0.4290938642828119,0.7010460476652648,0.6746908273828223,0.534020618556701,0.7357954545454546,0.6188769414575866,0.37499999999999994
RandomForest_All,2011-10-01,2151,0.35239423523942354,0.6609905918586525,0.5780351363665772,0.41414141414141414,0.7031662269129287,0.5212713936430318,0.31499999999999995
RandomForest_All,2011-11-01,2461,0.4290938642828119,0.6890764854955247,0.6718980160115952,0.5165562913907285,0.7386363636363636,0.607950116913484,0.31499999999999995
LightGBM_All,2011-10-01,2151,0.35239423523942354,0.6633151623174296,0.575823928054497,0.46124031007751937,0.6279683377308707,0.5318435754189945,0.4149999999999999
LightGBM_All,2011-11-01,2461,0.4290938642828119,0.6854547476544807,0.6617139275583861,0.5458786936236392,0.6647727272727273,0.5994876174210076,0.4149999999999999
