model,contact_fraction,capture_rate,lift_at_k
Logistic_RFM,0.05,0.11300992282249173,2.246559327833327
Logistic_RFM,0.1,0.20948180815876516,2.0866740804065333
Logistic_RFM,0.15000000000000002,0.28390297684674753,1.889409133069552
Logistic_RFM,0.2,0.34564498346196254,1.7252323200504018
Logistic_RFM,0.25,0.3974641675854465,1.5884789782531017
Logistic_RFM,0.3,0.4520396912899669,1.5052758528731607
Logistic_RFM,0.35000000000000003,0.5077177508269018,1.4499035707824592
Logistic_RFM,0.4,0.5551267916207276,1.3869148228357508
Logistic_RFM,0.45,0.5920617420066152,1.315312501991575
Logistic_RFM,0.5,0.6372657111356119,1.2739789595827664
Logistic_RFM,0.55,0.681367144432194,1.2381659850753661
Logistic_RFM,0.6000000000000001,0.721058434399118,1.2014167266794553
Logistic_RFM,0.6500000000000001,0.7695700110253583,1.1834801236575367
Logistic_RFM,0.7000000000000001,0.8076074972436604,1.1535106154499108
Logistic_RFM,0.7500000000000001,0.8489525909592062,1.1316096385849304
Logistic_RFM,0.8,0.8809261300992283,1.10103829593974
Logistic_RFM,0.8500000000000001,0.9095920617420066,1.0698899741785601
Logistic_RFM,0.9000000000000001,0.9443219404630651,1.0491960465949544
Logistic_RFM,0.9500000000000001,0.9702315325248071,1.02115651027029
Logistic_RFM,1.0,1.0,1.0
Logistic_All,0.05,0.11245865490628446,2.235600501843896
Logistic_All,0.1,0.20837927232635062,2.075691585246499
Logistic_All,0.15000000000000002,0.2866593164277839,1.9077529110605187
Logistic_All,0.2,0.3533627342888644,1.7637542538314315
Logistic_All,0.25,0.40904079382579933,1.6347453562604737
Logistic_All,0.3,0.4619625137816979,1.5383184935459864
Logistic_All,0.35000000000000003,0.5137816979051819,1.4672205515409902
Logistic_All,0.4,0.557883131201764,1.3938011923632374
Logistic_All,0.45,0.6019845644983461,1.3373568456003724
Logistic_All,0.5,0.6510474090407938,1.301530407670629
Logistic_All,0.55,0.6945975744211687,1.2622080430379945
Logistic_All,0.6000000000000001,0.7425578831312017,1.237238785043751
Logistic_All,0.6500000000000001,0.7877618522601985,1.2114563729990115
Logistic_All,0.7000000000000001,0.820837927232635,1.1724077176825374
Logistic_All,0.7500000000000001,0.8511576626240352,1.1345488843994367
Logistic_All,0.8,0.886438809261301,1.1079283979168348
Logistic_All,0.8500000000000001,0.918412348401323,1.0802646648372614
Logistic_All,0.9000000000000001,0.9514884233737596,1.0571584217296506
Logistic_All,0.9500000000000001,0.9785005512679162,1.0298595487100937
Logistic_All,1.0,1.0,1.0
RandomForest_All,0.05,0.11356119073869901,2.2575181538227582
RandomForest_All,0.1,0.211135611907387,2.103147823146585
RandomForest_All,0.15000000000000002,0.29051819184123484,1.933434200247872
RandomForest_All,0.2,0.3528114663726571,1.7610026871327864
RandomForest_All,0.25,0.4084895259095921,1.63254219540298
RandomForest_All,0.3,0.4592061742006615,1.529139982247979
RandomForest_All,0.35000000000000003,0.5143329658213892,1.4687948225190384
RandomForest_All,0.4,0.5573318632855567,1.3924239184577398
RandomForest_All,0.45,0.5992282249173098,1.331233416820151
RandomForest_All,0.5,0.639470782800441,1.2783871912768243
RandomForest_All,0.55,0.6775082690187431,1.2311537181695993
RandomForest_All,0.6000000000000001,0.721058434399118,1.2014167266794553
RandomForest_All,0.6500000000000001,0.7557883131201764,1.1622859953685407
RandomForest_All,0.7000000000000001,0.7993384785005513,1.1416999265545194
RandomForest_All,0.7500000000000001,0.8384785005512679,1.1176482209660255
RandomForest_All,0.8,0.8732083792723263,1.0913921531718074
RandomForest_All,0.8500000000000001,0.906284454244763,1.0659994651815474
RandomForest_All,0.9000000000000001,0.9360529217199559,1.0400086906703052
RandomForest_All,0.9500000000000001,0.9707828004410143,1.0217367128329433
RandomForest_All,1.0,1.0,1.0
LightGBM_All,0.05,0.11356119073869901,2.2575181538227582
LightGBM_All,0.1,0.20727673649393605,2.0647090900864646
LightGBM_All,0.15000000000000002,0.2794928335170893,1.8600590882840056
LightGBM_All,0.2,0.34454244762954794,1.719729186653112
LightGBM_All,0.25,0.4101433296582139,1.6391516779754616
LightGBM_All,0.3,0.46141124586549065,1.5364827912863848
LightGBM_All,0.35000000000000003,0.5088202866593164,1.4530521127385558
LightGBM_All,0.4,0.5567805953693495,1.3910466445522427
LightGBM_All,0.45,0.5997794928335171,1.332458102576195
LightGBM_All,0.5,0.6449834619625138,1.2894077705119698
LightGBM_All,0.55,0.6819184123484013,1.2391677374904755
LightGBM_All,0.6000000000000001,0.7177508269018743,1.195905640777256
LightGBM_All,0.6500000000000001,0.7557883131201764,1.1622859953685407
LightGBM_All,0.7000000000000001,0.7954796030871003,1.1361882717366698
LightGBM_All,0.7500000000000001,0.8313120176405733,1.10809567206888
LightGBM_All,0.8,0.8732083792723263,1.0913921531718074
LightGBM_All,0.8500000000000001,0.9040793825799338,1.063405792516872
LightGBM_All,0.9000000000000001,0.9459757442116868,1.0510335177798844
LightGBM_All,0.9500000000000001,0.9751929437706726,1.026378333334172
LightGBM_All,1.0,1.0,1.0
