feature,importance_gain,importance_gain_pct
active_days,11964.583298683167,19.213577896271243
tenure_days,10389.804129183292,16.68468562419844
avg_unit_price,5195.258334696293,8.342914935944812
mean_purchase_interval,4034.6634764671326,6.479149257030435
monetary,3905.4949704408646,6.271721293153596
amount_std,3859.0486847162247,6.197134547716247
recency,3839.580324113369,6.1658708711119115
quantity,3813.027918577194,6.123231131860915
frequency,3389.160027861595,5.442553958850745
unique_products,3387.7122328281403,5.4402289867260425
avg_basket,3085.585286438465,4.955052071316085
prior30_amount,2148.405210018158,3.450061721746884
recent30_amount,1911.319546341896,3.069332719038166
amount_trend,926.487689435482,1.4878197548981253
prior30_orders,194.3770810365677,0.3121445264338595
recent30_orders,189.68549990653992,0.30461045213739935
order_trend,37.30701273679733,0.05991025156509469
