model,auc,pr_auc,precision,recall,f1,threshold
Logistic_All,0.6894066323953241,0.6312512088178838,0.49016697588126157,0.7282249173098125,0.5859392326458195,0.37499999999999994
RandomForest_All,0.676039272026877,0.6274447231262799,0.4694315337861995,0.7238147739801544,0.5695076989806983,0.31499999999999995
LightGBM_All,0.675782256659939,0.6208866220581984,0.5081967213114754,0.649393605292172,0.5701839303000968,0.4149999999999999
Logistic_RFM,0.6754173716775174,0.6193606128448913,0.5179611650485437,0.5882028665931642,0.5508518327310273,0.39499999999999996
