metric,mean_difference,ci_lower,ci_upper,probability_difference_gt_0,bootstrap_replicates,reference,comparator
auc,0.014086446065648368,0.008471978385726922,0.019600166497943636,1.0,2000,Logistic_All,Logistic_RFM
pr_auc,0.011955596460465779,0.005513086726027944,0.018074527012868914,1.0,2000,Logistic_All,Logistic_RFM
f1,0.03531911241390413,0.02283184370792988,0.04818694462840776,1.0,2000,Logistic_All,Logistic_RFM
auc,0.013263669449559066,0.0024728880035743725,0.024492444495427656,0.9935,2000,Logistic_All,RandomForest_All
pr_auc,0.0037029564376450212,-0.005172231112560754,0.012856911357752795,0.788,2000,Logistic_All,RandomForest_All
f1,0.016461309467491976,0.003354265199999024,0.029139628816231743,0.9925,2000,Logistic_All,RandomForest_All
auc,0.013284348305400744,0.0024319527704078163,0.024460133510611267,0.9895,2000,Logistic_All,LightGBM_All
pr_auc,0.010112684511148225,0.0007526436994588298,0.019146350655248504,0.983,2000,Logistic_All,LightGBM_All
f1,0.015576215997853284,0.00237568162426374,0.028868671136607918,0.9895,2000,Logistic_All,LightGBM_All
