model,brier,log_loss,ece_10,mean_probability,observed_rate
RandomForest_All,0.21243040317435918,0.6145720506869634,0.05664969797974292,0.40970127875114637,0.3933217692974848
Logistic_All,0.21512821344524774,0.6223676032682288,0.08081240330441694,0.47413417260190177,0.3933217692974848
Logistic_RFM,0.21788514349722143,0.627901097633516,0.08136268124572088,0.4746844505432056,0.3933217692974848
LightGBM_All,0.21824844407891003,0.6284602770563897,0.07614768815878409,0.4636125173818332,0.3933217692974848
