model,auc,pr_auc,precision,recall,f1,threshold,brier,obs_days,pred_days,train_n,valid_n,test_n,positive_rate
Logistic_RFM,0.6678618588825465,0.5818740197839488,0.5271186440677966,0.48976377952755906,0.5077551020408163,0.43999999999999995,0.2193838415690185,60,30,1519,1557,1762,0.3603859250851305
Logistic_All,0.6696923754095956,0.579420712944855,0.5387387387387388,0.47086614173228347,0.5025210084033614,0.4799999999999999,0.21974651627641065,60,30,1519,1557,1762,0.3603859250851305
Logistic_RFM,0.6933493561751987,0.6093224031576792,0.5084306095979247,0.6173228346456693,0.5576102418207681,0.42999999999999994,0.21032883397044272,90,30,1519,1557,1762,0.3603859250851305
Logistic_All,0.6995814964123273,0.612440147534463,0.5166444740346205,0.6110236220472441,0.55988455988456,0.41999999999999993,0.20904780227444586,90,30,1519,1557,1762,0.3603859250851305
Logistic_RFM,0.7149312857631926,0.6294647555813019,0.5424200278164116,0.6141732283464567,0.5760709010339735,0.44499999999999995,0.20700615987882873,180,30,1519,1557,1762,0.3603859250851305
Logistic_All,0.7204284247077811,0.636039510418772,0.5407303370786517,0.6062992125984252,0.5716406829992576,0.43499999999999994,0.20235700113115399,180,30,1519,1557,1762,0.3603859250851305
Logistic_RFM,0.6803995920537274,0.7902340777097808,0.6453369639210347,0.8794063079777366,0.7444051825677267,0.30999999999999994,0.22892202985676527,90,60,1519,1557,1762,0.6118047673098751
Logistic_All,0.6974186006140893,0.7979535338671728,0.6534128561961564,0.9146567717996289,0.7622729029764206,0.27999999999999997,0.2277361678270174,90,60,1519,1557,1762,0.6118047673098751
