model,auc,pr_auc,precision,recall,f1,threshold,brier
Cox_All,0.6762997352810678,0.6118468093994368,0.5068201193520887,0.655457552370452,0.5716346153846154,0.25499999999999995,0.21868942121115628
BG_NBD,0.6249341946090017,0.5852238726593405,0.39389978213507626,0.9966923925027563,0.5646470955652717,0.12,0.22731949885684546
